id,text,category
5208,Please send a cctv technician. my CCTV system is not working.,CCTV Technician
5209,Who is available to repair the washing machine?,Washing Machine Technician
5210,Need urgent assistance because I need move-out cleaning.,House Cleaner
5211,the trees need trimming. Looking for a qualified gardener.,Gardener
5212,my bike won't start. Could someone help?,Motorcycle Mechanic
5213,Can anyone recommend a good tv repair technician?,TV Repair Technician
5214,Who is available to clean the office?,Office Cleaner
5215,Looking for someone who can replace the tyre.,Tire Repair
5216,Need urgent assistance because the fridge is warm inside.,Refrigerator Technician
5217,computer restarts unexpectedly. Can someone assist?,Computer Technician
5218,Looking for an experienced cctv technician to configure the security cameras.,CCTV Technician
5219,I'm searching for a skilled cook because I need a cook for a family event.,Cook
5220,need security for night duty. Looking for an experienced security guard.,Security Guard
5221,I'm looking for a reliable car mechanic.,Car Mechanic
5222,I need brick laying for a new room. Looking for a qualified mason.,Mason
5223,Need urgent assistance because my iron gate has broken hinges.,Welder
5224,the television won't turn on. I need professional help.,TV Repair Technician
5225,the brakes are not working properly. I need professional help.,Car Mechanic
5226,I need bathroom tiling. Looking for a qualified tiler.,Tiler
5227,I would like to hire a domestic helper to assist around the house.,Domestic Helper
5228,Need expert assistance to replace faulty switches.,Electrician
5229,Need someone reliable to check the battery.,Auto Electrician
5230,Can a car mechanic visit today? the brakes are not working properly.,Car Mechanic
5231,I would like to hire a security guard to provide security.,Security Guard
5232,I need a electrician because the wiring looks damaged.,Electrician
5233,I would like to hire a roofer to repair the roof.,Roofer
5234,I would like to hire a auto electrician because the vehicle wiring needs repair.,Auto Electrician
5235,Can anyone recommend a good ac technician?,AC Technician
5236,Please send a motorcycle mechanic. my motorcycle won't start.,Motorcycle Mechanic
5237,Please send a office cleaner. the workspace needs sanitizing.,Office Cleaner
5238,I'm having an issue because the alternator is faulty.,Auto Electrician
5239,Can anyone help me? there is a burning smell from an outlet.,Electrician
5240,Who is available to replace the tyre?,Tire Repair
5241,Looking for immediate assistance to fabricate aluminium work.,Aluminum Fabricator
5242,Please arrange a house cleaner. I need move-out cleaning.,House Cleaner
5243,Could someone please provide security?,Security Guard
5244,I need a cook for daily meals. I need professional help.,Cook
5245,the television won't turn on. I need professional help.,TV Repair Technician
5246,Could someone please service the bike?,Motorcycle Mechanic
5247,I need professional help to assist the senior.,Elder Caregiver
5248,Need someone reliable to provide childcare.,Babysitter
5249,Looking for immediate assistance to replace the glass.,Glass Installer
5250,Can anyone recommend an experienced mobile phone technician?,Mobile Phone Technician
5251,I would like to hire a tv repair technician to repair the television.,TV Repair Technician
5252,my bike won't start. I need this fixed soon.,Motorcycle Mechanic
5253,Need urgent assistance because the office floor needs cleaning.,Office Cleaner
5254,Please help because I need help with housework.,Domestic Helper
5255,Looking for immediate assistance to repair the wall.,Mason
5256,the washing machine stopped mid-cycle. Looking for a reliable washing machine technician.,Washing Machine Technician
5257,Could someone recommend a reliable aluminum fabricator? the aluminium window is damaged.,Aluminum Fabricator
5258,Can anyone recommend a good domestic helper?,Domestic Helper
5259,My problem is that my phone screen is cracked. I need a mobile phone technician.,Mobile Phone Technician
5260,the washing machine is leaking. Please help as soon as possible.,Washing Machine Technician
5261,Can anyone help me? I need security cameras set up.,CCTV Technician
5262,Who can help me? my garden needs maintenance.,Gardener
5263,I need professional help to trim the hedges.,Gardener
5264,Need professional assistance to repair the AC.,AC Technician
5265,Could someone help me to sanitize the workspace?,Office Cleaner
5266,I need a aluminum fabricator because the aluminium frame is damaged.,Aluminum Fabricator
5267,I need a qualified auto electrician to check the battery.,Auto Electrician
5268,Could someone please repair the motorcycle?,Motorcycle Mechanic
5269,Looking for someone who can provide childcare.,Babysitter
5270,Who can help me? the brakes are not working properly.,Car Mechanic
5271,Please send a cctv technician. my CCTV recorder is not working.,CCTV Technician
5272,Looking for an experienced domestic helper to help with household tasks.,Domestic Helper
5273,I'm searching for a skilled pest control because I have a rat infestation.,Pest Control
5274,Please send a ac technician. my air conditioner is not cooling.,AC Technician
5275,Need urgent assistance because I need a caregiver for senior care.,Elder Caregiver
5276,I need a qualified computer technician to repair the computer.,Computer Technician
5277,Looking for an experienced aluminum fabricator to repair the aluminium frame.,Aluminum Fabricator
5278,I'm searching for a reliable ac technician.,AC Technician
5279,Please send a motorcycle mechanic. the motorcycle loses power.,Motorcycle Mechanic
5280,Please help because the brakes are making noise.,Car Mechanic
5281,Looking for immediate assistance to carry out pest control.,Pest Control
5282,I need a babysitter this weekend. Looking for a reliable babysitter.,Babysitter
5283,I need a roofer because rainwater is coming through the roof.,Roofer
5284,I need a car mechanic because my car won't start.,Car Mechanic
5285,Could someone help me to repair the phone?,Mobile Phone Technician
5286,Who can fabricate aluminium work for me?,Aluminum Fabricator
5287,Who is available to service the bike?,Motorcycle Mechanic
5288,Who can replace roof sheets for me?,Roofer
5289,I'm searching for a reliable cctv technician.,CCTV Technician
5290,Who can help? I need support for a senior family member.,Elder Caregiver
5291,Could someone please replace the glass?,Glass Installer
5292,I need a professional security guard to guard the premises.,Security Guard
5293,I would like to hire a plumber because the shower has low water pressure.,Plumber
5294,roof sheets need replacing. I need this fixed soon.,Roofer
5295,I need someone to guard the premises.,Security Guard
5296,the lawn needs mowing. I need this fixed soon.,Gardener
5297,Can anyone recommend an experienced auto electrician?,Auto Electrician
5298,my laptop freezes frequently. Looking for a reliable computer technician.,Computer Technician
5299,I would like to hire a carpenter to replace damaged wood.,Carpenter
5300,Who can help? the freezer is not working.,Refrigerator Technician
5301,Could someone please repair the roof?,Roofer
5302,Need professional assistance to replace the glass.,Glass Installer
5303,I would like to hire a motorcycle mechanic.,Motorcycle Mechanic
5304,I've been dealing with this issue: my tyre has a puncture.,Tire Repair
5305,Can anyone recommend a good office cleaner?,Office Cleaner
5306,Please send a motorcycle mechanic. my bike won't start.,Motorcycle Mechanic
5307,I want to repaint my office. I need this fixed soon.,Painter
5308,I need a security guard because I need overnight security.,Security Guard
5309,Who can help me? my wooden door is damaged.,Carpenter
5310,I need a professional cctv technician to install CCTV cameras.,CCTV Technician
5311,the glass door is broken. Looking for a reliable glass installer.,Glass Installer
5312,Who can help me? the machine stops during washing.,Washing Machine Technician
5313,Need professional assistance to replace faulty components.,Electrician
5314,I would like to hire a tiler.,Tiler
5315,Please send a cctv technician; security cameras need configuration.,CCTV Technician
5316,lights keep flickering. Looking for an experienced electrician.,Electrician
5317,I need a professional refrigerator technician to repair the refrigerator.,Refrigerator Technician
5318,the power outlet is burnt. I need this fixed as soon as possible.,Electrician
5319,I need security cameras set up. Looking for a qualified cctv technician.,CCTV Technician
5320,Need someone reliable to repair the tyre.,Tire Repair
5321,Looking for an experienced refrigerator technician to repair the refrigerator.,Refrigerator Technician
5322,I would like to hire a pest control to perform pest control.,Pest Control
5323,Who can help? rats are damaging food supplies.,Pest Control
5324,Need professional assistance to fabricate aluminium fittings.,Aluminum Fabricator
5325,new room needs painting. Looking for an experienced painter.,Painter
5326,I need someone to install glass panels.,Glass Installer
5327,Could someone please install new tiles?,Tiler
5328,I'm searching for a reliable babysitter.,Babysitter
5329,I need someone to check the wiring.,Electrician
5330,Please arrange a mason. I need brick laying for a new room.,Mason
5331,I need a aluminum fabricator because I need an aluminium partition.,Aluminum Fabricator
5332,Who can help me? kitchen wall tiles need installation.,Tiler
5333,roof sheets are damaged. Looking for an experienced roofer.,Roofer
5334,Who can help me? the alternator is faulty.,Auto Electrician
5335,I need a professional welder to repair the metal gate.,Welder
5336,my engine won't start. Could someone help?,Car Mechanic
5337,I'm looking for a skilled car mechanic to repair the engine.,Car Mechanic
5338,Can anyone help me? my metal gate is damaged.,Welder
5339,I'm looking for a reliable motorcycle mechanic.,Motorcycle Mechanic
5340,my air conditioner is not cooling. I need professional help.,AC Technician
5341,I'm looking for a reliable tire repair.,Tire Repair
5342,I would like to hire a auto electrician.,Auto Electrician
5343,Can anyone recommend an experienced ac technician?,AC Technician
5344,the sink is overflowing. Could someone help?,Plumber
5345,I need security for an event. Looking for a reliable security guard.,Security Guard
5346,I need a qualified roofer to replace the roof sheets.,Roofer
5347,I need a welder because my metal gate is broken.,Welder
5348,Looking for someone who can trim the trees.,Gardener
5349,Looking for an experienced glass installer to replace the glass.,Glass Installer
5350,Can anyone recommend a good ac technician?,AC Technician
5351,Please send a electrician. the breaker trips every time I use the kettle.,Electrician
5352,my ceiling fan has stopped working. I need professional help.,Electrician
5353,I need a motorcycle mechanic because the motorcycle loses power.,Motorcycle Mechanic
5354,I'm looking for a skilled refrigerator technician to check the cooling system.,Refrigerator Technician
5355,Please help because my phone screen is shattered.,Mobile Phone Technician
5356,I need a tv repair technician because the television screen is blank.,TV Repair Technician
5357,Can anyone recommend an experienced electrician?,Electrician
5358,I need professional help to repair the vehicle.,Car Mechanic
5359,need a glass partition. Can someone assist?,Glass Installer
5360,Can anyone recommend an experienced welder?,Welder
5361,Need urgent help because refrigerator makes loud noise.,Refrigerator Technician
5362,my TV has no sound. I need this fixed soon.,TV Repair Technician
5363,Please send a office cleaner; office needs cleaning.,Office Cleaner
5364,there is no sound from the television. I need this fixed as soon as possible.,TV Repair Technician
5365,I'm having an issue because I need a tyre replacement.,Tire Repair
5366,Need urgent assistance because I need someone to clean the whole house.,House Cleaner
5367,Need someone reliable to check the battery.,Auto Electrician
5368,Could someone help me to repair the wall?,Mason
5369,Can anyone recommend an experienced electrician?,Electrician
5370,I'm experiencing a problem because need temporary security personnel. I need a security guard.,Security Guard
5371,I need a qualified ac technician to service the air conditioner.,AC Technician
5372,I need a electrician because the breaker trips every time I use the kettle.,Electrician
5373,Could someone please repair the phone?,Mobile Phone Technician
5374,Can a electrician visit today? the lights keep flickering.,Electrician
5375,My situation is urgent because my refrigerator is not cooling.,Refrigerator Technician
5376,Need urgent help because window grill is loose.,Welder
5377,my air conditioner is not cooling. I need professional help.,AC Technician
5378,I'm having an issue because the circuit breaker keeps tripping.,Electrician
5379,Looking for an experienced pest control to remove the pests.,Pest Control
5380,I need a car mechanic because the vehicle is overheating.,Car Mechanic
5381,Looking for an experienced domestic helper to help with housework.,Domestic Helper
5382,Need urgent assistance because my tyre is completely flat.,Tire Repair
5383,the bookshelf is broken. Looking for a reliable carpenter.,Carpenter
5384,My situation is urgent because the computer keeps restarting.,Computer Technician
5385,Who can repair the computer for me?,Computer Technician
5386,Please send a glass installer. the glass partition is damaged.,Glass Installer
5387,I've been dealing with this issue: the vehicle wiring needs repair.,Auto Electrician
5388,I would like to hire a domestic helper.,Domestic Helper
5389,I need professional help to replace faulty switches.,Electrician
5390,Can anyone recommend a good computer technician?,Computer Technician
5391,Who can help? I need daily meal preparation.,Cook
5392,Looking for someone who can repair the washing machine.,Washing Machine Technician
5393,Can anyone recommend an experienced electrician?,Electrician
5394,I'm looking for a skilled aluminum fabricator to fabricate aluminium fittings.,Aluminum Fabricator
5395,I'm searching for a skilled tiler because broken floor tiles need replacing.,Tiler
5396,Need someone reliable to clean the office.,Office Cleaner
5397,Looking for an experienced office cleaner to sanitize the office.,Office Cleaner
5398,I need a professional welder to weld the frame.,Welder
5399,Can anyone recommend a good cook?,Cook
5400,Please send a elder caregiver. I need a caregiver for senior care.,Elder Caregiver
5401,I need a motorcycle mechanic because my motorcycle needs servicing.,Motorcycle Mechanic
5402,I need a tiler because floor tiles are lifting.,Tiler
5403,Who can replace the battery for me?,Mobile Phone Technician
5404,I need an experienced office cleaner.,Office Cleaner
5405,Please arrange a office cleaner. the workspace needs sanitizing.,Office Cleaner
5406,I'm looking for a skilled office cleaner to sanitize the workplace.,Office Cleaner
5407,I need someone to repair the computer.,Computer Technician
5408,Could someone help me to carry out pest control?,Pest Control
5409,Need professional assistance to repair the vehicle wiring.,Auto Electrician
5410,Looking for an experienced roofer to repair the roof.,Roofer
5411,Need professional assistance to replace the glass.,Glass Installer
5412,Please arrange a gardener. the grass needs cutting.,Gardener
5413,Who can help? I need overnight security.,Security Guard
5414,I need daily meal preparation. Looking for a reliable cook.,Cook
5415,I'm looking for a trusted domestic helper. I need regular household help.,Domestic Helper
5416,I need a professional painter to paint the room.,Painter
5417,I'm looking for a reliable car mechanic.,Car Mechanic
5418,I need a ac technician because the AC is making unusual noise.,AC Technician
5419,Who can help? bathroom tiles are broken.,Tiler
5420,Need urgent help because screen flickers constantly.,TV Repair Technician
5421,Who is available to repair the engine?,Car Mechanic
5422,Looking for immediate assistance to repair the plumbing.,Plumber
5423,I need someone to care for my elderly mother. Could someone help?,Elder Caregiver
5424,I've been dealing with this issue: my kitchen cabinet is loose.,Carpenter
5425,I would like to hire a pest control.,Pest Control
5426,Who is available to provide childcare?,Babysitter
5427,I'm searching for a reliable domestic helper.,Domestic Helper
5428,I need an aluminium partition. I need this fixed soon.,Aluminum Fabricator
5429,I need someone to diagnose the problem.,Computer Technician
5430,Please arrange a tire repair. my tyre has a puncture.,Tire Repair
5431,I'm looking for a skilled auto electrician to inspect the battery.,Auto Electrician
5432,I'm searching for a reliable cook.,Cook
5433,Please send a motorcycle mechanic. my motorcycle won't start.,Motorcycle Mechanic
5434,Could someone recommend a reliable welder? my metal gate is damaged.,Welder
5435,I would like to hire a welder.,Welder
5436,Need urgent assistance because the aluminium window is damaged.,Aluminum Fabricator
5437,I need assistance with daily chores. I need this fixed as soon as possible.,Domestic Helper
5438,Need expert assistance to inspect the appliance.,Washing Machine Technician
5439,I need an aluminium partition. Looking for a reliable aluminum fabricator.,Aluminum Fabricator
5440,I'm experiencing a problem because security cameras need configuration. I need a cctv technician.,CCTV Technician
5441,Can anyone recommend a good washing machine technician?,Washing Machine Technician
5442,car won't start. Looking for an experienced car mechanic.,Car Mechanic
5443,Need professional assistance to paint the room.,Painter
5444,I'm looking for a reliable pest control.,Pest Control
5445,Who can help? my window glass is cracked.,Glass Installer
5446,Please send a carpenter. my dining table needs repair.,Carpenter
5447,Please help because the motorcycle needs servicing.,Motorcycle Mechanic
5448,Can anyone help me? there are cockroaches in my house.,Pest Control
5449,Please send a roofer. the gutters need repair.,Roofer
5450,the washing machine stopped mid-cycle. Looking for a reliable washing machine technician.,Washing Machine Technician
5451,Can anyone help me? my wardrobe is broken.,Carpenter
5452,Can a domestic helper visit today? I need regular household help.,Domestic Helper
5453,My situation is urgent because my ceiling fan has stopped working.,Electrician
5454,Please send a carpenter; wooden door won't close.,Carpenter
5455,Who can fabricate aluminium work for me?,Aluminum Fabricator
5456,I would like to hire a welder.,Welder
5457,I would like to hire a painter.,Painter
5458,Who can manage household tasks for me?,Domestic Helper
5459,Can anyone recommend a reliable cctv technician? I need CCTV cameras installed.,CCTV Technician
5460,Could someone please inspect the television?,TV Repair Technician
5461,the car battery keeps dying. Looking for a qualified auto electrician.,Auto Electrician
5462,I need professional help since I need CCTV cameras installed.,CCTV Technician
5463,Can anyone recommend a reliable carpenter? my wardrobe is broken.,Carpenter
5464,the machine won't drain water. I need this fixed as soon as possible.,Washing Machine Technician
5465,the brakes are not working properly. Looking for a qualified car mechanic.,Car Mechanic
5466,the AC blows warm air. Could someone help?,AC Technician
5467,Need urgent assistance because I need childcare this afternoon.,Babysitter
5468,I'm having an issue because the workspace needs sanitizing.,Office Cleaner
5469,I need a professional aluminum fabricator to repair aluminium fittings.,Aluminum Fabricator
5470,Who can assist with housework for me?,Domestic Helper
5471,Please arrange a gardener. my garden needs maintenance.,Gardener
5472,Could someone please look after my child?,Babysitter
5473,the freezer is not working. Looking for a reliable refrigerator technician.,Refrigerator Technician
5474,I need someone to repair the metal work.,Welder
5475,Could someone help me to repair the TV?,TV Repair Technician
5476,I need a gardener because the trees need trimming.,Gardener
5477,Need urgent assistance because the washing machine vibrates heavily.,Washing Machine Technician
5478,I'm looking for a skilled washing machine technician to repair the washing machine.,Washing Machine Technician
5479,My problem is that my washing machine won't spin. I need a washing machine technician.,Washing Machine Technician
5480,Please send a cook. I need a cook for a family function.,Cook
5481,I need a qualified mobile phone technician to repair my phone.,Mobile Phone Technician
5482,I need a qualified domestic helper to manage daily housework.,Domestic Helper
5483,Looking for immediate assistance to help with household chores.,Domestic Helper
5484,Looking for someone who can cook for my family.,Cook
5485,Who can help? the drain is blocked.,Plumber
5486,the machine won't drain water. I need this fixed as soon as possible.,Washing Machine Technician
5487,Need expert assistance to trim the trees.,Gardener
5488,Need urgent assistance because I need additional CCTV cameras installed.,CCTV Technician
5489,need assistance for a senior family member. Looking for an experienced elder caregiver.,Elder Caregiver
5490,Looking for an experienced computer technician to fix the laptop.,Computer Technician
5491,Need professional assistance to repair the wall.,Mason
5492,I would like to hire a cctv technician to install CCTV cameras.,CCTV Technician
5493,Need urgent assistance because the air conditioner makes loud noises.,AC Technician
5494,Looking for immediate assistance to check the cooling system.,Refrigerator Technician
5495,I need an aluminium partition. Looking for a reliable aluminum fabricator.,Aluminum Fabricator
5496,I'm looking for a skilled glass installer to replace the glass.,Glass Installer
5497,I'm looking for a skilled aluminum fabricator to repair the aluminium frame.,Aluminum Fabricator
5498,Looking for an experienced elder caregiver to assist my elderly parent.,Elder Caregiver
5499,Please send a glass installer. the glass door is damaged.,Glass Installer
5500,the machine is leaking. Looking for a reliable washing machine technician.,Washing Machine Technician
5501,I need a welder because the metal frame is cracked.,Welder
5502,Looking for an experienced refrigerator technician to check the cooling system.,Refrigerator Technician
5503,Can anyone help me? I need care for my elderly parent.,Elder Caregiver
5504,Looking for an experienced auto electrician to check the battery.,Auto Electrician
5505,I'm searching for a reliable carpenter.,Carpenter
5506,Please send a mason. I need a small boundary wall built.,Mason
5507,I would like to hire a painter to paint the walls.,Painter
5508,I need a carpenter because my kitchen cabinet is loose.,Carpenter
5509,Please help because I want to repaint my office.,Painter
5510,Please send a pest control. there are cockroaches in my house.,Pest Control
5511,Could someone help me to repair the refrigerator?,Refrigerator Technician
5512,Please send a mason. I need a small boundary wall built.,Mason
5513,Need urgent assistance because kitchen wall tiles need installation.,Tiler
5514,Need urgent assistance because the washing machine vibrates heavily.,Washing Machine Technician
5515,walls need repainting. Looking for an experienced painter.,Painter
5516,I need a professional security guard to guard the premises.,Security Guard
5517,I need a qualified plumber to fix the leak.,Plumber
5518,Looking for someone who can service the air conditioner.,AC Technician
5519,My problem is that I have a flat tyre. I need a tire repair.,Tire Repair
5520,I'm looking for a skilled refrigerator technician to inspect the cooling system.,Refrigerator Technician
5521,the tyre has a nail in it. Could someone help?,Tire Repair
5522,I would like to hire a glass installer to replace the glass.,Glass Installer
5523,Looking for an experienced carpenter to fix the door.,Carpenter
5524,Please help because the headlights stopped working.,Auto Electrician
5525,I'm looking for a reliable motorcycle mechanic.,Motorcycle Mechanic
5526,I need professional help since the washing machine is leaking.,Washing Machine Technician
5527,I need professional help since I need a babysitter this evening.,Babysitter
5528,I need a office cleaner because our office needs a thorough cleaning.,Office Cleaner
5529,I'm experiencing a problem because ceiling paint is peeling. I need a painter.,Painter
5530,I need professional help to service the motorcycle.,Motorcycle Mechanic
5531,I would like to hire a auto electrician.,Auto Electrician
5532,Looking for someone who can prepare meals.,Cook
5533,Can anyone recommend an experienced gardener?,Gardener
5534,I'm looking for a trusted mason. the concrete steps are damaged.,Mason
5535,Please send a pest control. I have a rat infestation.,Pest Control
5536,Need someone reliable to look after my child.,Babysitter
5537,I need a plumber because the kitchen tap is leaking.,Plumber
5538,I'm looking for a reliable welder.,Welder
5539,I need professional help since my office needs cleaning.,Office Cleaner
5540,Could someone please service the bike?,Motorcycle Mechanic
5541,I'm looking for a skilled mobile phone technician to repair my phone.,Mobile Phone Technician
5542,the air conditioner makes loud noises. I need this fixed as soon as possible.,AC Technician
5543,I need a tiler because I need bathroom tiling.,Tiler
5544,Please send a auto electrician. my indicators stopped working.,Auto Electrician
5545,I'm having an issue because my motorcycle needs servicing.,Motorcycle Mechanic
5546,Need urgent assistance because the washing machine is leaking.,Washing Machine Technician
5547,Please send a aluminum fabricator. I need a new aluminium window.,Aluminum Fabricator
5548,I need a electrician because the ceiling fan is noisy.,Electrician
5549,I need a babysitter because I need childcare this afternoon.,Babysitter
5550,I need an experienced tv repair technician.,TV Repair Technician
5551,Who can repair the phone for me?,Mobile Phone Technician
5552,my phone screen is shattered. I need this fixed soon.,Mobile Phone Technician
5553,Please send a aluminum fabricator. I need a new aluminium window.,Aluminum Fabricator
5554,I'm looking for a skilled glass installer to replace the glass.,Glass Installer
5555,Need urgent assistance because termites have spread through the furniture.,Pest Control
5556,Can anyone recommend a reliable tire repair? my tyre has a puncture.,Tire Repair
5557,Need professional assistance to sanitize the workplace.,Office Cleaner
5558,Can anyone recommend an experienced washing machine technician?,Washing Machine Technician
5559,Please help because my CCTV cameras are offline.,CCTV Technician
5560,Please send a tire repair; flat tyre.,Tire Repair
5561,My situation is urgent because I have a termite infestation.,Pest Control
5562,I'm experiencing a problem because need daily home assistance. I need a domestic helper.,Domestic Helper
5563,Could someone please repair the computer?,Computer Technician
5564,I would like to hire a car mechanic to inspect the engine.,Car Mechanic
5565,security cameras need configuration. Can someone assist?,CCTV Technician
5566,a steel frame needs welding. I need this fixed soon.,Welder
5567,Could someone help me to repair the roof?,Roofer
5568,I'm searching for a reliable tire repair.,Tire Repair
5569,I need someone to replace roof sheets.,Roofer
5570,Need urgent assistance because the metal frame is cracked.,Welder
5571,I need meal preparation assistance. Looking for a qualified cook.,Cook
5572,workspace requires sanitizing. Looking for an experienced office cleaner.,Office Cleaner
5573,I need professional help to repair the washing machine.,Washing Machine Technician
5574,I would like to hire a security guard.,Security Guard
5575,Can a auto electrician visit today? the alternator is faulty.,Auto Electrician
5576,Who can help me? my garden needs maintenance.,Gardener
5577,my motorcycle needs servicing. I need professional help.,Motorcycle Mechanic
5578,I need a office cleaner because our office needs cleaning.,Office Cleaner
5579,Can anyone recommend a reliable motorcycle mechanic? the bike engine is noisy.,Motorcycle Mechanic
5580,Can anyone recommend a good computer technician?,Computer Technician
5581,I'm experiencing a problem because engine makes a knocking noise. I need a car mechanic.,Car Mechanic
5582,Need urgent assistance because I need someone to help with housework.,Domestic Helper
5583,I've been dealing with this issue: the AC is leaking water.,AC Technician
5584,I need a professional tv repair technician to fix the display.,TV Repair Technician
5585,Please send a refrigerator technician. the fridge makes loud noises.,Refrigerator Technician
5586,AC needs servicing. Can someone assist?,AC Technician
5587,I need a carpenter because my dining table needs repair.,Carpenter
5588,I would like to hire a plumber.,Plumber
5589,Who is available to guard the premises?,Security Guard
5590,My situation is urgent because my TV has no display.,TV Repair Technician
5591,Please send a domestic helper; need daily home assistance.,Domestic Helper
5592,Need professional assistance to inspect the cooling system.,Refrigerator Technician
5593,my phone screen is cracked. Looking for a qualified mobile phone technician.,Mobile Phone Technician
5594,I would like to hire a car mechanic because my car won't start.,Car Mechanic
5595,Need professional assistance to provide childcare.,Babysitter
5596,I'm looking for a skilled carpenter to install wooden fittings.,Carpenter
5597,I would like to hire a washing machine technician.,Washing Machine Technician
5598,my bike won't start. Could someone help?,Motorcycle Mechanic
5599,I'm looking for a skilled babysitter to look after my child.,Babysitter
5600,Who can help me? I need move-out cleaning.,House Cleaner
5601,Please send a cctv technician. I need CCTV cameras installed.,CCTV Technician
5602,I'm looking for a reliable electrician.,Electrician
5603,I need move-out cleaning. I need professional help.,House Cleaner
5604,Please help because I need overnight security.,Security Guard
5605,I'm looking for a skilled glass installer to replace the glass.,Glass Installer
5606,Who can repair the TV for me?,TV Repair Technician
5607,Who can help me? the trees need trimming.,Gardener
5608,Can anyone recommend an experienced refrigerator technician?,Refrigerator Technician
5609,Please send a cook. I need someone to prepare daily meals.,Cook
5610,I'm looking for a skilled plumber to fix the leak.,Plumber
5611,kitchen wall tiles need installation. Looking for a qualified tiler.,Tiler
5612,I'm searching for a skilled car mechanic because my car won't start.,Car Mechanic
5613,Please help because I need brick laying for a garage.,Mason
5614,My situation is urgent because the glass door is damaged.,Glass Installer
5615,I'm having an issue because I need a cook for daily meals.,Cook
5616,I need someone to replace faulty wiring.,Auto Electrician
5617,my motorcycle needs servicing. Please help as soon as possible.,Motorcycle Mechanic
5618,my roof is leaking. I need professional help.,Roofer
5619,I would like to hire a house cleaner to clean the house.,House Cleaner
5620,Please send a tv repair technician; TV has no picture.,TV Repair Technician
5621,Who is available to provide elderly care?,Elder Caregiver
5622,I need a car mechanic because the engine vibrates excessively.,Car Mechanic
5623,laptop won't boot. Looking for an experienced computer technician.,Computer Technician
5624,I have a flat tyre. I need this fixed soon.,Tire Repair
5625,Who can help? I need a cook for a family dinner.,Cook
5626,the lights won't turn on. Looking for a reliable electrician.,Electrician
5627,vehicle wiring is faulty. Can someone assist?,Auto Electrician
5628,Can anyone recommend an experienced roofer?,Roofer
5629,Need urgent assistance because my house needs a deep clean.,House Cleaner
5630,Could someone please fix the damaged woodwork?,Carpenter
5631,I need a office cleaner because the office needs sanitizing.,Office Cleaner
5632,I would like to hire a cctv technician.,CCTV Technician
5633,I need an experienced roofer.,Roofer
5634,my roof is leaking. Looking for a qualified roofer.,Roofer
5635,Could someone help me to repair the roof?,Roofer
5636,I would like to hire a tire repair.,Tire Repair
5637,I need professional help to repair the masonry.,Mason
5638,Could someone please replace the glass?,Glass Installer
5639,I need a qualified gardener to maintain the garden.,Gardener
5640,Could someone please sanitize the workplace?,Office Cleaner
5641,I need a pest control because there are cockroaches in my house.,Pest Control
5642,Who can repair the tyre for me?,Tire Repair
5643,Can anyone recommend an experienced roofer?,Roofer
5644,my window glass is broken. Please help as soon as possible.,Glass Installer
5645,Could someone please install CCTV cameras?,CCTV Technician
5646,Please send a domestic helper. I need assistance with daily chores.,Domestic Helper
5647,my elderly father needs assistance. I need this fixed as soon as possible.,Elder Caregiver
5648,Looking for an experienced plumber to repair the plumbing.,Plumber
5649,Need urgent assistance because the hedges need trimming.,Gardener
5650,Need urgent help because steel frame needs welding.,Welder
5651,Need urgent help because need new CCTV installation.,CCTV Technician
5652,my TV has no sound. Looking for a reliable tv repair technician.,TV Repair Technician
5653,My problem is that my dining table needs repair. I need a carpenter.,Carpenter
5654,I need a cctv technician because I need additional CCTV cameras installed.,CCTV Technician
5655,I need guards for a private event. I need this fixed as soon as possible.,Security Guard
5656,my refrigerator is not cooling. Looking for a qualified refrigerator technician.,Refrigerator Technician
5657,I'm looking for a trusted gardener. my garden needs maintenance.,Gardener
5658,Could someone help me to replace the glass?,Glass Installer
5659,I need a washing machine technician because the washing machine stopped mid-cycle.,Washing Machine Technician
5660,Can anyone help me? the toilet is blocked.,Plumber
5661,Who can repair the wall for me?,Mason
5662,Could someone help me to provide childcare?,Babysitter
5663,Looking for an experienced refrigerator technician to repair the refrigerator.,Refrigerator Technician
5664,My situation is urgent because the gutters need repair.,Roofer
5665,I need a professional plumber to clear the blockage.,Plumber
5666,I'm looking for a reliable pest control.,Pest Control
5667,Who can help me? a water pipe has burst.,Plumber
5668,Looking for an experienced ac technician to service the air conditioner.,AC Technician
5669,Could someone please guard the property?,Security Guard
5670,damaged tyre. Can someone assist?,Tire Repair
5671,Please send a motorcycle mechanic. my motorcycle won't start.,Motorcycle Mechanic
5672,I would like to hire a tiler to retile the floor.,Tiler
5673,Looking for an experienced washing machine technician to repair the washing machine.,Washing Machine Technician
5674,Need professional assistance to fabricate aluminium fittings.,Aluminum Fabricator
5675,suspected virus infection. Can someone assist?,Computer Technician
5676,Can anyone recommend a good pest control?,Pest Control
5677,Can anyone recommend a reliable ac technician? my air conditioner is not cooling.,AC Technician
5678,I'm having an issue because an elderly family member needs daily assistance.,Elder Caregiver
5679,I'm experiencing a problem because office partition is damaged. I need a aluminum fabricator.,Aluminum Fabricator
5680,Need someone reliable to fix the display.,TV Repair Technician
5681,I need additional CCTV cameras installed. I need this fixed as soon as possible.,CCTV Technician
5682,Who can help? roof sheets need replacing.,Roofer
5683,I need a mason because I need a small boundary wall built.,Mason
5684,cement around the steps is damaged. Could someone help?,Mason
5685,Need urgent assistance because the garden is full of weeds.,Gardener
